,biz,grade,inspections_in_2012,inspections_in_2013,phone_num,violations_in_2012,violations_in_2013,violations_per_inspection
0,CAFE MINERVA,B,4,3,2122424800,14,5,1
1,CAFE 1853,A,2,1,7188627573,12,3,3
2,LA NUEVA GIRALDA BAKERY,C,1,6,7189912810,4,15,2
3,V'NOTE,B,3,4,2122495009,8,15,3
4,DUNKIN DONUTS & BASKIN ROBBINS,A,1,1,7183723824,3,3,3
5,SUBSCONSCIOUS,B,4,1,2128642720,11,2,2
6,MARINA GRAND CAFE,A,1,3,7186059200,2,8,2
7,PARAISO AZTECA RESTAURANT,C,5,4,7189989860,29,15,3
8,PERK KAFE,A,0,2,2126867375,0,4,2
9,TOMMYS FAMOUS CHEESESTEAKS & PIZZA,B,0,3,7187682222,0,10,3
10,MCDONALD'S,A,1,2,7189391881,3,4,2
11,BLACK CRESCENT,A,0,0,2124771771,0,0,0
12,JONG RO BBQ RESTAURANT/GOLDEN PIG,B,5,3,7187779292,13,7,2
13,ISADORA'S CAFE,B,1,1,2128885656,2,1,1
14,AMICI PIZZERIA,A,0,2,7183566060,0,4,2
15,VEGGIES NATURAL JUICE BAR,A,1,2,3476273247,1,6,3
16,TANXIA WANG FUZHOU CUISINE,P,4,4,2123430548,14,33,8
17,PAESANO'S,A,2,3,2129651198,13,10,3
18,EL TEXANO RESTAURANT,P,5,4,7188236457,28,14,3
19,SAN PIETRO,P,4,2,2127539015,10,6,3
20,GOLDEN FLOWER KITCHEN,A,2,1,7184092010,6,4,4
21,MALAGA RESTAURANT,P,6,2,2127377659,29,5,2
22,AWAKENING NEW YORK,A,2,0,7183491380,5,0,0
23,D'VIDA HEALTH BAR,B,1,4,2129691893,2,12,3
24,BOULEVARD PIZZERIA,A,3,1,7186723300,5,2,2
25,BAR GREAT HARRY,B,4,4,7182221103,15,11,2
26,CARUSO PIZZERIA & RESTAURANT,P,3,5,7187972300,6,12,2
27,ESTRELLA DEL MAR RESTAURANT,C,4,1,7184567496,13,2,2
28,BURGER KING,B,1,1,7188247846,2,2,2
29,THE MONKEY ROOM,C,1,4,2125439888,2,13,3
30,PANDA GARDEN,B,2,1,7186998781,8,2,2
31,ENVY,C,1,1,2127550222,2,2,2
32,GOOD FRIEND,C,0,4,7184558828,0,12,3
33,CLOCK WORK,C,1,2,2126774545,5,5,2
34,MIKE'S OAKWOOD DINER,C,3,1,7186681570,9,2,2
35,Hu Kitchen,A,1,2,2125108919,2,4,2
38,BLIMPIE,A,1,1,2124067489,1,3,3
39,HOUSE OF CHENG KITCHEN,A,0,2,7185888575,0,3,1
40,ZEN PALATE,C,4,2,2126856888,19,9,4
42,PANERA BREAD,B,4,3,2018184669,13,6,2
43,THAI FRESH,B,0,2,7188158880,0,10,5
44,MARILU & DEYSI RESTAURANT,C,2,2,2127956909,8,6,3
46,KIRAKUYA SAKE BAR,C,0,3,2126957272,0,9,3
47,BOSTON PIZZA,B,5,4,7185456001,17,13,3
48,TOUS LES JOURS,B,1,3,7187626557,1,9,3
50,CELESTIANO,C,4,4,3477873564,18,15,3
51,MD BAGELS DELI & GROCEERY,B,1,4,7188764960,3,12,3
52,REED SMITH,A,1,1,2125494222,1,2,2
53,SUBWAY,A,1,0,6465599081,2,0,0
54,NEW FLUSHING NOODLE RESTAURANT,C,4,7,7183531166,18,40,5
55,THE GATE,B,3,3,7187684329,7,11,3
56,SILVER KRUST WEST INDIAN RESTAURANT,P,4,5,7184853608,16,19,3
57,KENNEDY CHICKEN & PIZZA,A,2,2,7184508486,3,4,2
58,ETHEL BARRYMORE THEATER,A,1,1,2125867610,2,2,2
59,DYCKMAN BAR,B,2,6,6463603018,6,18,3
60,JAKE'S,P,3,3,7185223981,9,8,2
61,A.K.A. RESTAURANT,A,2,1,3472278274,4,2,2
62,PARIGOT,C,0,4,2122748859,0,14,3
