biz,lat,long,has_menu
MYWAYCUP COFFEE,40.739936,-73.986023000000003,False
LE MONDE,40.805714000000002,-73.965710000000001,True
KEFI,40.785246999999998,-73.972665000000006,True
PETER MCMANUS,40.741737999999998,-73.997539000000003,False
TAI PAN BAKERY,40.755244418105598,-73.828274131624894,False
BKNY THAI RESTAURANT,40.753064000000002,-73.780142999999995,True
MOJITO CUBAN CUISINE,40.694901000000002,-73.967074999999994,True
THE LONG ROOM,40.756385000000002,-73.984346000000002,True
EL MAGUEY Y LA TUNA,40.721024999999997,-73.982902999999993,True
ZAMPA,40.739142000000001,-74.003625,True
WHISKEY REBEL,40.742906435041199,-73.982001450908101,True
YUM YUM QUEENS,40.7436327062562,-73.921363266919897,True
NAMUDOL,40.752924999999998,-73.820324999999997,False
BAY HOUSE BISTRO,40.628171000000002,-74.076476999999997,False
TASTE GOOD MALAYSIAN CUISINE,40.741496973917798,-73.882200127766396,False
3 STAR COFFEE SHOP,40.786493,-73.972068233333303,False
NICKY'S BBQ,40.844369999999998,-73.889016999999996,True
BAOHAUS,40.732487999999996,-73.985652999999999,True
RANCHO MATEO,40.757131999999999,-73.870413999999997,False
JC GARDEN,40.7314294041431,-73.860212280963196,False
EL POLLO III,40.607231140136697,-74.002754211425795,False
GILDA'S RESTAURANT,40.760292,-73.877018000000007,False
GRAND SICHUAN,40.730134,-74.004615000000001,True
ABRAHAM RESTAURANT,40.856451,-73.891908999999998,False
NEW DAWN RESTAURANT,40.752913891682198,-73.938648578927996,False
ESPERANTO,40.725453999999999,-73.978122999999997,True
CUMBRE RESTAURANTE,40.743132000000003,-73.897261,True
HIBINO,40.690092999999997,-73.996404999999996,True
Jimbo's Hamburger,40.853782296180697,-73.907224999999997,False
LAS PALOMAS MEXICA RESTAURANT,40.8573866099008,-73.906769156207901,False
SUNRISE MART,40.752650681571602,-73.980669957495493,False
TOASTIES,40.760100000000001,-73.983087999999995,False
EL BEIT,40.718639000000003,-73.956913999999998,False
LUNG SING,40.757489,-73.865516,False
HUNAN BALCONY,40.795906600000002,-73.970957883333298,False
BAMBOO GARDEN,40.691077999999997,-73.838181000000006,False
DAI WAH YUMMY CITY,40.614820999999999,-73.994725000000003,False
CROWN GRILL & SALAD,40.711787999999999,-73.941247000000004,False
SWEET EXPRESSIONS,40.668398932413297,-73.942310961316906,False
ROASTOWN,40.752169000000002,-73.993037999999999,False
MATISSE,40.754314999999998,-73.968699999999998,True
SILVER KRUST,40.667079000000001,-73.931135999999995,False
MADANGSUI,40.749642000000001,-73.984983,True
WING SHOON SEAFOOD RESTAURANT,40.713952999999997,-73.989966999999993,False
REAL MADRID RESTAURANT,40.626378000000003,-74.158330000000007,True
FIRENZE,40.775599999999997,-73.953299999999999,True
KANOYAMA,40.730528,-73.986440999999999,True
NEW POST COFFEE SHOP,40.744117000000003,-73.924080000000004,True
ESSEN DELI,40.624369000000002,-73.964920000000006,False
IN VINO,40.723725000000002,-73.983576999999997,True
LA ESQUINA RESTAURANT,40.816919112310302,-73.929952383041396,False
LE SINGE VERT,40.742272999999997,-73.997530999999995,True
LA MIA PIZZA,40.7713597992811,-73.953417999999999,True
DYNASTY TASTE,40.588211049999998,-74.165443210000007,True
